"Latitud","Longitud","placas"
32.3157,-115.262,"Pacífico"
16.4527,-95.0138,"Cocos"
19.0638,-98.6188,"Norteamérica"
32.22,-115.13,"Pacífico"
15.5118,-94.738,"Cocos"
18.147,-103.462,"Rivera"
32.2625,-115.264,"Pacífico"
27.3718,-111.414,"Norteamérica"
31.2248,-115.327,"Pacífico"
18.12,-103.7,"Rivera"
16.5037,-99.3317,"Cocos"
29.8043,-113.925,"Pacífico"
18.66,-101.54,"Rivera"
18.1397,-103.459,"Rivera"
17.2043,-94.3193,"Norteamérica"
31.2108,-115.309,"Pacífico"
17.1308,-94.227,"Caribe"
26.4898,-110.803,"Pacífico"
31.5192,-115.578,"Pacífico"
17.9183,-98.6358,"Cocos"
31.4838,-115.624,"Pacífico"
13.9623,-93.2383,"Caribe"
14.8067,-93.1288,"Caribe"
17.4852,-94.8463,"Norteamérica"
27.685,-111.864,"Pacífico"
13.9927,-93.2165,"Caribe"
15.2365,-92.4548,"Caribe"
18.3625,-102.17,"Rivera"
18.62,-104.8,"Rivera"
19.1788,-103.916,"Rivera"
18.052,-103.216,"Rivera"
16.5155,-97.9702,"Cocos"
16.818,-94.5675,"Cocos"
16.5708,-95.8145,"Cocos"
15.319,-92.652,"Caribe"
14.8752,-94.2598,"Caribe"
16.0908,-97.5137,"Cocos"
15.0443,-92.8055,"Caribe"
18.377,-103.771,"Rivera"
30.6598,-114.108,"Pacífico"
15.1972,-94.4545,"Caribe"
14.9462,-94.3357,"Caribe"
26.37,-110.8,"Pacífico"
31.1533,-115.921,"Pacífico"
18.9165,-102.654,"Rivera"
18.8098,-95.6383,"Norteamérica"
18.5835,-103.191,"Rivera"
18.5267,-103.279,"Rivera"
27.2,-110.08,"Norteamérica"
16.268,-97.3038,"Cocos"
19.0648,-105.465,"Rivera"
18.1055,-103.212,"Rivera"
16.7157,-94.7875,"Cocos"
27.1117,-108.443,"Norteamérica"
14.9125,-93.1113,"Caribe"
16.0858,-98.0422,"Cocos"
30.77,-109.33,"Norteamérica"
17.3258,-94.467,"Norteamérica"
15.004,-93.5768,"Caribe"
20.407,-99.1975,"Norteamérica"
18.103,-103.403,"Rivera"
19.4547,-102.216,"Rivera"
16.95,-99.11,"Cocos"
27.133,-111.452,"Pacífico"
16.91,-100.29,"Cocos"
15.141,-91.9872,"Caribe"
27.402,-111.405,"Norteamérica"
31.12,-115.7,"Pacífico"
15.87,-96.62,"Cocos"
15.65,-93.1,"Caribe"
16.7535,-99.8207,"Cocos"
16.2332,-98.9822,"Cocos"
15.98,-96.88,"Cocos"
19.5255,-102.216,"Rivera"
18.8262,-104.224,"Rivera"
19.08,-103.88,"Rivera"
32.45,-115.25,"Pacífico"
29.9045,-113.732,"Norteamérica"
15.0948,-93.1447,"Caribe"
13.9033,-92.2442,"Caribe"
31.2817,-114.275,"Pacífico"
14.7288,-94.4072,"Caribe"
